time,lat,lon,P_1ac,T_28,C_51,S_41,depth,waterlevel
2019-02-23 05:00:05,47.0512439,-122.9053391,52.667,7.826,27858.625,25.956566490223572,5.26299207231592,2.59999207231592
2019-02-23 05:15:05,47.0512439,-122.9053391,50.802,7.83,27857.182,25.952308212045608,5.076642497764286,2.4136424977642865
2019-02-23 05:30:05,47.0512439,-122.9053391,48.8,7.834,27851.52,25.94370523608054,4.876617332552665,2.213617332552665
2019-02-23 05:45:05,47.0512439,-122.9053391,46.655,7.836,27839.49,25.92993056730023,4.662316494403276,1.9993164944032764
2019-02-23 06:00:05,47.0512439,-122.9053391,44.199,7.827,27816.791,25.91277998640966,4.416937318828783,1.753937318828783
2019-02-23 06:15:05,47.0512439,-122.9053391,41.876,7.772,27762.188,25.894557397406167,4.184823116102582,1.5218231161025826
2019-02-23 06:30:05,47.0512439,-122.9053391,39.676,7.612,27328.26,25.5566900571487,3.965920962991897,1.3029209629918972
2019-02-23 06:45:05,47.0512439,-122.9053391,37.554,7.675,27322.422,25.507601043772556,3.7539810263002367,1.0909810263002369
2019-02-23 07:00:05,47.0512439,-122.9053391,35.582,7.706,27258.244,25.420314608633348,3.557107520878745,0.894107520878745
2019-02-23 07:15:05,47.0512439,-122.9053391,33.586,7.724,27137.818,25.284088446087704,3.357927642816346,0.6949276428163462
2019-02-23 07:30:05,47.0512439,-122.9053391,31.491,7.758,27107.475,25.22993108970012,3.148613625972715,0.4856136259727153
2019-02-23 07:45:05,47.0512439,-122.9053391,29.453,7.777,27090.676,25.199871311793313,2.9449199352285924,0.2819199352285926
2019-02-23 08:00:05,47.0512439,-122.9053391,27.623,7.795,27066.906,25.163354779025052,2.7620271047557448,0.09902710475574494
2019-02-23 08:15:05,47.0512439,-122.9053391,25.806,7.808,26685.053,24.763011577274135,2.5811430198162646,-0.08185698018373522
2019-02-23 08:30:05,47.0512439,-122.9053391,24.267,7.817,25282.943,23.32613859254676,2.4298957183628387,-0.23310428163716113
2019-02-23 08:45:05,47.0512439,-122.9053391,22.217,7.821,24211.504,22.237457701537,2.2264905532132544,-0.4365094467867454
2019-02-23 09:00:05,47.0512439,-122.9053391,20.818,7.822,23801.238,21.822619751625375,2.0869552481645663,-0.5760447518354335
2019-02-23 09:15:05,47.0512439,-122.9053391,19.38,7.815,23447.021,21.469701207742727,1.9433254204637243,-0.7196745795362756
2019-02-23 09:30:05,47.0512439,-122.9053391,18.353,7.793,23024.262,21.05685176687323,1.8409236975800265,-0.8220763024199733
2019-02-23 09:45:05,47.0512439,-122.9053391,17.223,7.781,22706.658,20.744527156806548,1.7279907020880474,-0.9350092979119524
2019-02-23 10:00:05,47.0512439,-122.9053391,16.796,7.784,22550.955,20.586689816043048,1.6853550568100457,-0.9776449431899541
2019-02-23 10:15:05,47.0512439,-122.9053391,16.722,7.793,22479.768,20.510428889890758,1.678029945315459,-0.9849700546845408
2019-02-23 10:30:05,47.0512439,-122.9053391,17.207,7.802,22501.504,20.527307863659807,1.726678312307546,-0.9363216876924538
2019-02-23 10:45:05,47.0512439,-122.9053391,18.2,7.826,27615.025,25.70575466387257,1.8190690243964824,-0.8439309756035174
2019-02-23 11:00:05,47.0512439,-122.9053391,19.598,7.834,27759.057,25.84849256108591,1.9585847321205767,-0.7044152678794231
2019-02-23 11:15:05,47.0512439,-122.9053391,21.516,7.84,27838.941,25.926596856197992,2.150138428126146,-0.5128615718738536
2019-02-23 11:30:05,47.0512439,-122.9053391,23.74,7.844,27902.754,25.98954357088371,2.372273859126875,-0.290726140873125
2019-02-23 11:45:05,47.0512439,-122.9053391,26.565,7.848,27963.105,26.048931181965038,2.654448721479073,-0.008551278520926964
2019-02-23 12:00:05,47.0512439,-122.9053391,29.246,7.85,28037.912,26.124614929076394,2.9221726059567072,0.25917260595670744
2019-02-23 12:15:05,47.0512439,-122.9053391,31.939,7.849,28071.996,26.160440020573343,3.1911609077212075,0.5281609077212077
2019-02-23 12:30:05,47.0512439,-122.9053391,34.687,7.847,28103.225,26.19402920760565,3.465634990776678,0.8026349907766783
2019-02-23 12:45:05,47.0512439,-122.9053391,37.527,7.844,28147.348,26.24162393308476,3.749245621828845,1.0862456218288452
2019-02-23 13:00:05,47.0512439,-122.9053391,40.203,7.842,28198.176,26.29545124612676,4.0164322919179645,1.3534322919179647
2019-02-23 13:15:05,47.0512439,-122.9053391,42.711,7.843,28239.277,26.3371509549098,4.266854933169817,1.6038549331698175
2019-02-23 13:30:05,47.0512439,-122.9053391,45.239,7.842,28259.949,26.35918447961575,4.5193266545802,1.8563266545802004
2019-02-23 13:45:05,47.0512439,-122.9053391,47.712,7.84,28292.41,26.394093324383523,4.766247710534313,2.1032477105343133
2019-02-23 14:00:05,47.0512439,-122.9053391,49.963,7.841,28323.25,26.42522065647187,4.990995415051859,2.3279954150518596
2019-02-23 14:15:05,47.0512439,-122.9053391,51.83,7.841,28339.395,26.441887080225477,5.177430946221977,2.5144309462219776
2019-02-23 14:30:05,47.0512439,-122.9053391,53.89,7.837,28364.869,26.471014605328943,5.383086519731879,2.7200865197318795
2019-02-23 14:45:05,47.0512439,-122.9053391,55.587,7.83,28382.506,26.494180947346138,5.552496669632765,2.889496669632765
2019-02-23 15:00:05,47.0512439,-122.9053391,57.27,7.831,28408.697,26.520526306132204,5.720493863045876,3.057493863045876
2019-02-23 15:15:05,47.0512439,-122.9053391,58.582,7.83,28430.541,26.543801252935125,5.851439518431996,3.1884395184319962
2019-02-23 15:30:05,47.0512439,-122.9053391,59.955,7.828,28451.844,26.567230799353712,5.98847184780553,3.3254718478055305
2019-02-23 15:45:05,47.0512439,-122.9053391,60.82,7.82,28460.4,26.581753595062484,6.074796613762002,3.4117966137620024
2019-02-23 16:00:05,47.0512439,-122.9053391,61.382,7.818,28462.428,26.585270551265403,6.130911958075955,3.467911958075955
2019-02-23 16:15:05,47.0512439,-122.9053391,61.611,7.82,28467.244,26.5888274721531,6.153769508754349,3.4907695087543495
2019-02-23 16:30:05,47.0512439,-122.9053391,61.551,7.819,28476.271,26.598868858384797,6.147728481428867,3.4847284814288675
2019-02-23 16:45:05,47.0512439,-122.9053391,61.335,7.824,28488.135,26.607577394916163,6.126117239559884,3.463117239559884
2019-02-23 17:00:05,47.0512439,-122.9053391,60.693,7.827,28495.271,26.612819819634133,6.061972403457786,3.3989724034577864
2019-02-23 17:15:05,47.0512439,-122.9053391,59.627,7.822,28492.027,26.613022508266493,5.955496435016942,3.292496435016942
2019-02-23 17:30:05,47.0512439,-122.9053391,58.181,7.831,28499.75,26.614604445506025,5.811070643374706,3.1480706433747065
2019-02-23 17:45:05,47.0512439,-122.9053391,56.6,7.836,28501.207,26.612554833319937,5.653174108196144,2.9901741081961446
2019-02-23 18:00:05,47.0512439,-122.9053391,54.505,7.843,28504.375,26.610851633470947,5.443938676175184,2.7809386761751838
2019-02-23 18:15:05,47.0512439,-122.9053391,52.59,7.845,28498.99,26.603866882967623,5.252698691879599,2.589698691879599
2019-02-23 18:30:05,47.0512439,-122.9053391,50.325,7.836,28474.094,26.584540165382858,5.026538969754339,2.3635389697543387
2019-02-23 18:45:05,47.0512439,-122.9053391,48.065,7.824,28450.479,26.56865982148724,4.800857959891341,2.1378579598913414
2019-02-23 19:00:05,47.0512439,-122.9053391,45.818,7.824,28434.369,26.552012358843175,4.576480212195211,1.913480212195211
2019-02-23 19:15:05,47.0512439,-122.9053391,43.69,7.832,28425.051,26.536711492682873,4.3639829347719425,1.7009829347719427
2019-02-23 19:30:05,47.0512439,-122.9053391,41.546,7.836,28411.074,26.519439215877775,4.149886250977494,1.4868862509774945
2019-02-23 19:45:05,47.0512439,-122.9053391,39.444,7.843,28397.963,26.500942334899968,3.9399841544321608,1.276984154432161
2019-02-23 20:00:05,47.0512439,-122.9053391,37.405,7.831,28366.293,26.476728269733567,3.736376255824978,1.0733762558249782
2019-02-23 20:15:05,47.0512439,-122.9053391,35.304,7.818,28321.844,26.44000928570364,3.5266015578603347,0.8636015578603349
2019-02-23 20:30:05,47.0512439,-122.9053391,33.451,7.794,28249.631,26.38234855021941,3.341638847044549,0.678638847044549
2019-02-23 20:45:05,47.0512439,-122.9053391,31.435,7.765,28033.688,26.179640893534312,3.140724986983081,0.4777249869830813
2019-02-23 21:00:05,47.0512439,-122.9053391,29.573,7.744,27658.676,25.807141016051073,2.9555272169072224,0.2925272169072226
2019-02-23 21:15:05,47.0512439,-122.9053391,27.69,7.738,27325.906,25.46825635451215,2.768058647979166,0.10505864797916598
2019-02-23 21:30:05,47.0512439,-122.9053391,25.864,7.732,27111.816,25.25192681387018,2.585948651216222,-0.07705134878377784
2019-02-23 21:45:05,47.0512439,-122.9053391,24.43,7.726,26935.953,25.07507020473098,2.442903893117777,-0.22009610688222292
2019-02-23 22:00:05,47.0512439,-122.9053391,23.196,7.721,26823.766,24.96308651206289,2.3197069827309993,-0.3432930172690005
2019-02-23 22:15:05,47.0512439,-122.9053391,21.897,7.731,26595.559,24.722083081146817,2.1902093003851486,-0.4727906996148512
2019-02-23 22:30:05,47.0512439,-122.9053391,20.895,7.766,25757.631,23.84177896024115,2.091409625106564,-0.5715903748934359
2019-02-23 22:45:05,47.0512439,-122.9053391,20.141,7.789,24971.299,23.02667538292558,2.0172102746029505,-0.6457897253970493
2019-02-23 23:00:05,47.0512439,-122.9053391,19.992,7.807,24785.863,22.827451867942816,2.002598337995051,-0.6604016620049489
2019-02-23 23:15:05,47.0512439,-122.9053391,20.218,7.817,24782.791,22.818265143208926,2.025253429916767,-0.637746570083233
2019-02-23 23:30:05,47.0512439,-122.9053391,20.769,7.796,27292.609,25.394596791778387,2.0763261607819867,-0.5866738392180131
2019-02-23 23:45:05,47.0512439,-122.9053391,22.002,7.727,28238.449,26.418091187945567,2.197844812013216,-0.4651551879867837
2019-02-24 00:00:05,47.0512439,-122.9053391,23.612,7.709,28298.385,26.492899927783803,2.3585316887436902,-0.3044683112563096
2019-02-24 00:15:05,47.0512439,-122.9053391,25.623,7.72,28341.684,26.5299444700487,2.559335112998028,-0.10366488700197163
2019-02-24 00:30:05,47.0512439,-122.9053391,27.903,7.74,28396.813,26.57282725795814,2.7869864436060183,0.12398644360601851
2019-02-24 00:45:05,47.0512439,-122.9053391,30.207,7.739,28420.938,26.59852262681018,3.0170529276674793,0.35405292766747953
2019-02-24 01:00:05,47.0512439,-122.9053391,32.407,7.732,28454.941,26.63873222097826,3.2366845398593416,0.5736845398593418
2019-02-24 01:15:05,47.0512439,-122.9053391,34.686,7.729,28476.975,26.663703116503864,3.4642344294225524,0.8012344294225526
2019-02-24 01:30:05,47.0512439,-122.9053391,37.069,7.71,28486.91,26.687571022297536,3.70215788125559,1.0391578812555902
2019-02-24 01:45:05,47.0512439,-122.9053391,39.473,7.704,28509.4,26.715183612902706,3.9421638033080346,1.2791638033080348
2019-02-24 02:00:05,47.0512439,-122.9053391,41.469,7.708,28520.65,26.723988902404056,4.141478143843754,1.4784781438437542
2019-02-24 02:15:05,47.0512439,-122.9053391,43.518,7.686,28524.551,26.74378983920746,4.346032254711692,1.683032254711692
2019-02-24 02:30:05,47.0512439,-122.9053391,45.422,7.671,28536.422,26.76686558568686,4.536091052780419,1.8730910527804192
2019-02-24 02:45:05,47.0512439,-122.9053391,47.323,7.672,28554.301,26.78471128017857,4.725871196555678,2.0628711965556783
2019-02-24 03:00:05,47.0512439,-122.9053391,48.813,7.675,28577.354,26.806493434494744,4.87458905305614,2.2115890530561404
2019-02-24 03:15:05,47.0512439,-122.9053391,50.073,7.68,28590.355,26.816399978020705,5.000380892833929,2.3373808928339295
2019-02-24 03:30:05,47.0512439,-122.9053391,51.306,7.682,28614.229,26.83975050232097,5.123419915256323,2.4604199152563235
2019-02-24 03:45:05,47.0512439,-122.9053391,52.275,7.694,28632.303,26.849883742385227,5.220151493393732,2.557151493393732
2019-02-24 04:00:05,47.0512439,-122.9053391,53.135,7.7,28645.355,26.85911552233519,5.305996956043216,2.642996956043216
2019-02-24 04:15:05,47.0512439,-122.9053391,53.672,7.694,28645.74,26.863832918293028,5.359597698793719,2.696597698793719
2019-02-24 04:30:05,47.0512439,-122.9053391,54.195,7.697,28669.848,26.886701100408306,5.411730608915929,2.748730608915929
